id,date,category,sub_category,amount,account,description,created_at
1,2025-10-01,Shopping,,400.0,,IKEA per la stanza M,
2,2025-10-10,Pre-paid card,,82.13,,,
3,2025-10-11,Family,,70.22,,Chinese Learning Books for me and Leo,
4,2025-10-13,Going out,,6.0,,,
5,2025-10-14,Family,,15.99,,New Dad's phone case,
6,2025-10-15,Credit cards,,81.95,,,
7,2025-10-16,Shopping,,22.89,,Cable Lamp (Amazon),
8,2025-10-16,Going out,,20.05,,Chinese Glovo,
9,2025-10-18,Claudia,,29.9,,Yankee Candels,
10,2025-10-18,Groceries,,53.82,,Amazon Fresh,
11,2025-10-19,Claudia,,49.93,,Poke Glovo,
12,2025-10-23,Gifts,,30.0,,Regalo Andra Formicola Laurea,
13,2025-10-24,Personal care,,142.0,,DelBo Visita,
14,2025-10-24,Other,,86.0,,Bonifico Andrea Boldrino Tesi KTH,
15,2025-10-24,Pre-paid card,,147.0,,,
16,2025-10-24,Transportation,,2.2,,ATM Milano,
17,2025-10-25,Claudia,,38.27,,Burger King,
18,2025-10-26,Claudia,,12.99,,tazza the natale,
19,2025-10-26,Claudia,,35.4,,Libri Francese,
20,2025-10-28,Other,,15.0,,,
21,2025-10-28,Claudia,,59.9,,Yankee Calendario avvento,
22,2025-10-30,Transportation,,95.0,,Benzina Pieno,
23,2025-10-30,Transportation,,12.0,,Parking,
24,2025-11-01,Transportation,,13.4,,Autostrada,
25,2025-11-01,Claudia,,18.0,,Cioccolattini ,
26,2025-11-02,Transportation,,1.5,,Autostrada,
27,2025-11-02,Transportation,,17.9,,Autostrada,
28,2025-11-02,Transportation,,2.6,,Autostrada,
29,2025-11-02,Going out,,57.29,,Sushi Glovo,
30,2025-11-03,Other,,10.0,,Microsoft Abbonamento,
31,2025-11-04,Personal care,,182.0,,Acufene visita,
32,2025-11-04,Other,,15.0,,,
33,2025-11-04,Transportation,,2.2,,ATM Milano,
34,2025-11-07,Other,,15.8,,,
35,2025-11-09,Claudia,,31.09,,,
36,2025-11-10,Personal care,,84.35,,Prelievi (Riccardo),
37,2025-11-10,Personal care,,56.96,,RM con contrasto,
